"ID","NAME","LNG","LAT"
"M1505","畅好乡+番贺村","109.476","18.744"
"M0661","七叉镇+大仍村","109.031","19.066"
"M0659","叉河镇+叉河村","108.941","19.229"
"M0662","七叉镇+尼下村","109.033","19.125"
"M1102","长坡镇+青葛港","110.670","19.318"
"M1254","永发镇+蔬菜研究基地","110.199","19.756"
"M1070","天涯区+天涯西线高速","109.331","18.318"
"M1317","东阁镇+良丰小学","110.860","19.635"
"M1502","水满乡+蝴蝶谷","109.669","18.875"
"M1506","毛道乡+毛道中心学校","109.406","18.795"
"M1602","万冲镇+山荣乐中三队","109.299","18.836"
"M1418","椰林镇+气象局大院","110.030","18.504"
"M0104","石壁镇+镇政府","110.304","19.166"
"M0132","博鳌镇+镇政府","110.583","19.161"
"M1124","博鳌镇+沙坡岛2","110.560","19.157"
"M1220","八所镇+华能东方电厂2","108.620","19.050"
"M1412","三才镇+镇政府","109.986","18.480"
"M1360","和乐镇+港北英豪小学","110.499","18.861"
"M0315","锦山镇+文昌罗豆农场","110.645","19.979"
"M1039","金贸街道+海口湾","110.303","20.038"
"M1096","海棠区+南田农场","109.736","18.484"
"M1123","博鳌镇+沙坡岛","110.560","19.157"
"M1904","永署礁2","112.881","9.539"
"M1907","东门礁","114.496","9.909"
"M1921","南薰礁2","114.221","10.197"
"M1935","南薰礁4","114.221","10.197"
"M1941","深航岛3","111.960","16.286"
"M1153","光村镇+新盈养牛场","109.565","19.815"
"M1411","群英乡+群英村","109.833","18.601"
"M1009","蓝天街道+省局大院","110.354","20.026"
"59851","定安","110.330","19.670"
"M1216","四更镇+赤坎水文站","108.709","19.260"
"M1171","那大镇+洛基","109.483","19.636"
"M0309","会文镇+南坡村","110.694","19.455"
"M1371","东澳镇+洲仔岛","110.360","18.641"
"M1036","椰香公主号船舶站","109.686","20.729"
"M1091","天涯区+扎南村","109.424","18.530"
"M1330","文昌市+七洲列岛3","111.270","19.982"
"M1920","东岛2","112.723","16.670"
"M1936","赤瓜礁4","114.286","9.714"
"59854","屯昌","110.100","19.370"
"59855","琼海","110.470","19.400"
"M0551","中平镇+中平小学","110.053","19.004"
"M0139","阳江镇+大崖村","110.413","19.140"
"M1073","崖州区+南滨试验站","109.186","18.366"
"M0554","什运乡+什统小学","109.553","18.964"
"M0109","万泉镇+光耀村","110.384","19.291"
"M0128","中原镇+蓬莱村","110.475","19.187"
"M1214","三家镇+中心小学","108.758","19.243"
"M1115","嘉积镇+红星水文站","110.441","19.252"
"M0134","嘉积镇+里邦村","110.463","19.292"
"M1306","东阁镇+宝芳宝贤小学","110.828","19.727"
"M1712","青松乡+青松乡农场","109.268","19.239"
"M1852","富文镇+金鸡岭农场","110.255","19.596"
"M1326","文城镇+迈号迈众小学","110.691","19.535"
"M1760","博厚镇+马袅工作站","109.845","19.927"
"M1027","灵山镇+桂林洋高速路","110.450","19.979"
"M1764","多文镇+东江学校","109.773","19.709"
"M0008","海秀镇+镇政府","110.285","19.995"
"M1112","会山镇+牛路岭水库","110.198","19.007"
"M1157","兰洋镇+北郊荔枝园","109.650","19.470"
"M0504","冲山镇+什应村","109.459","18.792"
"M1002","三门坡镇+橡胶气象台","110.554","19.724"
"M1862","新竹镇+大株村","110.204","19.592"
"M0314","铺前镇+隆丰水库","110.621","20.047"
"M1508","南圣镇+公路道班","109.593","18.740"
"M1203","新龙镇+华侨农场","108.688","18.984"
"M0131","博鳌镇+培兰村","110.562","19.132"
"M1864","定城镇+仙沟高速路","110.359","19.683"
"M1055","吉阳区+亚龙湾玫瑰谷","109.598","18.239"
"M1013","灵山镇+智力实验学校","110.434","19.932"
"M1053","海棠区＋赤田水库","109.728","18.418"
"M0651","石碌镇+红林农场二队","109.082","19.240"
"M0701","打安镇+子雅村","109.353","19.363"
"M1029","旧州镇+托东水文站","110.391","19.821"
"M1565","湾岭镇+绿橙基地","109.961","19.182"
"M1620","佛罗镇+佛罗林场","108.714","18.617"
"M1037","西秀镇+挺秀公园","110.190","20.048"
"M1080","吉阳区＋亚龙湾森林公园","109.631","18.262"
"M1126","阳江镇+老区小学","110.406","19.073"
"M1017","大坡镇+大坡中学","110.563","19.625"
"M0009","金宇街道+金牛岭公园","110.311","20.017"
"M1251","桥头镇+红山农场","109.905","19.919"
"M1206","天安乡+乡政府","108.906","19.016"
"M1064","天涯区＋水源池水库","109.473","18.344"
"M1855","龙门镇+定南中学","110.323","19.436"
"M1320","锦山镇+湖山立德小学","110.706","19.894"
"M1410","光坡镇+岭门农场中学","110.040","18.589"
"M1033","粤海铁二号船舶站","110.150","20.043"
"M1077","天涯区＋太平洋码头","109.266","18.298"
"M1939","琼沙三号","110.703","17.012"
"59940","乐东","109.170","18.750"
"M0013","府城街道+政法职业学院","110.373","19.984"
"M0319","潭牛镇+新桥墟","110.679","19.657"
"M1007","大致坡镇+风潭水库","110.623","19.797"
"M1057","崖州区＋梅山","109.011","18.370"
"M0012","白沙街道+市七中","110.354","20.042"
"M0126","中原镇+排塘村","110.489","19.159"
"M1372","万城镇+白鞍岛","110.569","18.811"
"M0311","重兴镇+八角水库","110.600","19.451"
"M0312","昌洒镇+昌新村","110.936","19.819"
"M1075","吉阳区+南繁吉阳基地","109.594","18.288"
"M1309","重兴镇+三角庭农场","110.626","19.433"
"M1315","公坡镇+公坡中心小学","110.815","19.791"
"M1255","仁兴镇+西达农场","109.888","19.483"
"M1507","水满乡+牙排水库","109.606","18.886"
"M1180","洋浦原油码头海岛站2","109.142","19.795"
"M1041","粤海铁一号船舶站2","110.150","20.043"
"M1092","天涯区+市一中","109.498","18.289"
"M1097","海棠区+青田村","109.676","18.263"
"M1098","育才生态区+马亮村","109.323","18.455"
"M1269","永发镇+排坡洋蔬菜小气候站","110.181","19.731"
"M1461","加茂镇南茂红毛丹气候站","109.655","18.575"
"M1908","华阳礁","112.856","8.888"
"M1164","中和镇+中和中学","109.344","19.739"
"59941","五指山","109.520","18.770"
"M1910","琛航岛","111.960","16.286"
"M1909","中建岛","111.202","15.768"
"M1170","大成镇+西培南乐小学","109.417","19.476"
"M0509","南圣镇+光明村","109.579","18.716"
"M1555","中平镇+南方农场21队","110.064","19.072"
"M0467","保城镇+道突村","109.714","18.638"
"M0117","塔洋镇+镇政府","110.506","19.294"
"M1301","翁田镇+堆头小学","110.824","19.977"
"M0125","中原镇+长仙村","110.460","19.116"
"M0552","中平镇+南茂村","110.119","18.996"
"M0703","七坊镇+查英小村","109.185","19.361"
"59945","保亭","109.700","18.650"
"M1658","七叉镇+红林二十八队","109.011","19.201"
"M1659","七叉镇+七叉中学","109.050","19.118"
"M1604","千家镇+乐光福报场部","109.107","18.517"
"M1617","抱由镇+山荣水文站","109.159","18.779"
"M1759","皇桐镇+镇政府","109.846","19.836"
"M1709","七坊镇+珠碧江农场","109.294","19.372"
"M1404","文罗镇+海秦研究所","109.966","18.519"
"M1253","金江镇+美亭工作站","110.056","19.813"
"M1803","西昌镇+西昌幼儿园","110.047","19.443"
"M0654","昌化镇+杨柳村","108.687","19.295"
"M1802","枫木镇+枫木中学","110.014","19.213"
"M1607","千家镇+乐光农场","109.111","18.627"
"M1614","黄流镇+赖元小学","108.759","18.548"
"M0011","长流镇+镇政府","110.197","20.014"
"M1501","冲山镇+阿驼岭电视塔","109.497","18.835"
"M1072","崖州区＋西鼓岛海岛站","108.951","18.324"
"M1353","南桥镇+镇政府","110.148","18.681"
"M0313","昌洒镇+水铁水库","110.875","19.786"
"M1354","山根镇+华明小学","110.504","18.952"
"M1168","大成镇+西华农场","109.340","19.523"
"M1107","长坡镇+合水水库","110.587","19.275"
"M0106","万泉镇+文台村","110.397","19.215"
"M1563","营根镇+加钗农场18队","109.770","19.006"
"M1407","隆广镇+镇政府旧址","109.845","18.483"
"M1561","上安乡+马场","109.836","18.889"
"M1266","瑞溪镇+北桥水文站","110.148","19.735"
"M1554","黎母山镇+黎母山林场","109.730","19.174"
"M0062","育才生态区+南岛农场红新村","109.422","18.517"
"M0503","响水镇+陡水河村","109.574","18.682"
"M0464","响水镇+镇政府","109.613","18.594"
"M0135","嘉积镇+田头村","110.498","19.199"
"M0453","加茂镇+南昌水库","109.739","18.539"
"M0459","什玲镇+加浩村","109.787","18.651"
"M1154","峨蔓镇+镇政府","109.263","19.857"
"M1212","感城镇+入学小学","108.646","18.868"
"M0115","潭门镇+多亩村","110.563","19.210"
"M1328","文昌市+七洲列岛","111.270","19.982"
"M1652","乌烈镇+峨港第二小学","108.804","19.323"
"M1559","湾岭镇+乌石农场","109.906","19.146"
"M0465","保城镇+潘文村","109.681","18.643"
"M1177","东成镇+高速路","109.436","19.726"
"M1402","新村镇+新村中学","109.966","18.421"
"M0004","新埠街道+办事处","110.359","20.055"
"M0006","城西镇+海口南站","110.326","19.996"
"M0014","滨海街道+市一中初中部","110.357","20.006"
"M1008","人民路街道+污水处理厂","110.324","20.074"
"M1068","吉阳区＋白鹭公园","109.514","18.247"
"M1005","三江镇+丁荣水库","110.580","19.877"
"M1707","细水乡+中心学校","109.555","19.210"
"M1564","湾岭镇+乌石公路站","109.923","19.151"
"M1811","新兴镇+广青中学","110.155","19.456"
"M0103","石壁镇+南星村","110.303","19.177"
"M1403","黎安镇+镇政府","110.066","18.439"
"M1702","七坊镇+龙江农场","109.265","19.308"
"M1305","昌洒镇+文东中学","110.894","19.771"
"M1511","南圣镇+南圣水文站","109.616","18.744"
"M1071","天涯区＋西岛海岛站","109.363","18.243"
"M0318","冯坡镇+白茅村","110.755","19.978"
"M0320","抱罗镇+里山水库","110.747","19.836"
"M1460","响水镇+大本公路站","109.602","18.620"
"M1810","坡心镇+坡心中学","110.087","19.309"
"M1415","光坡镇+分界洲高速路","110.174","18.589"
"M0457","什玲镇+毛定村","109.754","18.706"
"M1052","崖州区＋南山旅游区","109.202","18.298"
"M1356","北大镇+东兴农场","110.328","18.929"
"M1011","演丰镇+演丰中学","110.555","19.949"
"M1084","崖州区+金鸡水库","109.238","18.380"
"M1933","永署礁4","112.881","9.542"
"M1755","东英镇+镇政府","109.645","19.962"
"M1756","博厚镇+镇政府","109.741","19.887"
"M1314","东郊镇+东郊中学","110.851","19.575"
"M1159","那大镇+两院科技园","109.509","19.506"
"M1202","东河镇+广坝农场","108.926","19.075"
"M1367","龙滚镇+华侨中学","110.512","19.059"
"M1805","乌坡镇+乌坡中学","110.066","19.181"
"M1359","后安镇+乐来水声","110.398","18.897"
"M1806","南吕镇+南吕中学","110.079","19.256"
"M1303","东路镇+镇政府","110.703","19.795"
"M1858","雷鸣镇+南丽湖","110.338","19.503"
"M1510","番阳镇+番阳水文站","109.388","18.868"
"M1054","天涯区＋立才农场","109.304","18.410"
"M0502","冲山镇+太平水库","109.532","18.814"
"M0555","红毛镇+牙挽小学","109.644","19.014"
"M1210","板桥镇+中沙中学","108.771","18.800"
"M1163","大成镇+西庆农场","109.447","19.570"
"M1706","阜龙乡+阜龙中心小学","109.458","19.329"
"M1116","嘉积镇+高速路","110.435","19.262"
"M1651","昌化镇+昌化中心小学","108.680","19.333"
"M0105","万泉镇+沐皇村","110.419","19.253"
"M0466","保城镇+毛界山村","109.656","18.703"
"M1413","本号镇+祖关小学","109.875","18.648"
"M1618","九所镇+九所高速路","108.955","18.463"
"M1366","北大镇+东岭农场","110.378","18.984"
"M1368","礼纪镇+日月湾","110.232","18.644"
"M0137","会山镇+南塘水库管理处","110.281","19.049"
"M1663","海尾镇+新港","108.914","19.488"
"M1114","阳江镇+官墓水库","110.388","19.136"
"M1562","什运乡+五指山中学","109.596","18.988"
"M1151","白马井镇+珠联公司","109.225","19.690"
"M1603","九所镇+中环公司","108.977","18.458"
"M1355","山根镇+香车水库","110.438","18.988"
"M1701","南开乡+乡政府","109.410","19.080"
"M0107","石壁镇+岸田村","110.338","19.162"
"M1809","南吕镇+中建农场","110.178","19.269"
"M1051","天涯区＋西岛码头","109.363","18.293"
"M1167","新州镇+新英盐场","109.284","19.743"
"M1169","蓝洋镇+番加小学","109.694","19.329"
"M1111","石壁镇+南俸农场","110.217","19.173"
"M1364","和乐镇+大同中学","110.467","18.910"
"M1101","万泉镇+新市中学","110.387","19.333"
"M1117","博鳌镇+朝阳水文站","110.521","19.149"
"M1601","尖峰镇+万钟公司","108.758","18.635"
"59849","琼中","109.830","19.030"
"M1019","永兴镇+永兴中学","110.265","19.903"
"M0666","石碌镇+香岭村","109.032","19.377"
"M0669","王下乡+三派村","109.143","19.007"
"M1043","美兰区+海南大学","110.318","20.056"
"M0655","昌化镇+纳凤村","108.813","19.263"
"M0657","昌化镇+新城村","108.701","19.297"
"M0665","叉河镇+红阳村","108.876","19.244"
"M1264","中兴镇+促进水库","109.892","19.638"
"M0402","文罗镇+坡村","109.970","18.551"
"M0119","长坡镇+文子村","110.644","19.390"
"M0124","中原镇+星池村","110.435","19.114"
"M1757","和舍镇+镇政府","109.725","19.598"
"M1456","响水镇+毛真水库","109.578","18.656"
"M1358","长丰镇+东和农场","110.263","18.783"
"M0304","文城镇+深田水库","110.777","19.536"
"M0306","龙楼镇+吉水小学","110.939","19.699"
"M0310","重兴镇+天鹅岭水库","110.639","19.485"
"M1914","渚碧礁2","114.061","10.913"
"M1927","美济礁3","115.521","9.881"
"M1928","南薰礁3","114.221","10.197"
"M1937","东门礁4","114.496","9.909"
"M0351","兴隆农场+沉香湾水库","110.095","18.800"
"M1313","翁田镇+龙马中心小学","110.893","19.855"
"M1310","龙楼镇+龙楼中学","110.963","19.659"
"M1311","铺前镇+木兰头","110.698","20.118"
"M1032","粤海铁一号船舶站","110.150","20.043"
"M1040","东山镇+马坡洋蔬菜小气候站","110.299","19.717"
"M1086","崖州区+西鼓岛海岛站2","108.951","18.324"
"M1329","文昌市+七洲列岛2","111.270","19.982"
"M1373","东澳镇+洲仔岛2","110.360","18.641"
"M1916","中建岛2","111.202","15.768"
"M1930","东门礁3","114.496","9.909"
"M1609","千家镇+乐光福报21队","109.046","18.517"
"M1610","利国镇+新联小学","108.846","18.477"
"M0122","塔洋镇+里文村","110.495","19.318"
"M1913","东岛","112.723","16.670"
"M1454","毛感乡+毛拉洞水库","109.495","18.573"
"M1060","吉阳区＋三亚学院","109.551","18.343"
"59948","三亚","109.570","18.220"
"M1166","海头镇+红洋水管所","109.024","19.500"
"M0667","石碌镇+鸡心村","109.154","19.215"
"M0111","潭门镇+社昌村","110.546","19.201"
"M1503","番阳镇+番阳幼儿园","109.398","18.880"
"M1038","长流镇+西海岸观海台","110.243","20.033"
"M1081","天涯区+天涯海角","109.349","18.293"
"M1653","石碌镇+红林农场五队","109.106","19.261"
"M1268","福山镇+荣儒苗圃","109.901","19.856"
"M1666","七叉镇+霸王岭学校","109.084","19.114"
"M1217","三家镇+岭村水文站","108.838","19.253"
"M1911","北礁","111.468","17.066"
"59856","文昌","110.750","19.620"
"M0317","翁田镇+翁龙水库","110.854","19.917"
"M1006","东山镇+岭北水库","110.233","19.765"
"M1025","龙塘镇+水轮泵站","110.422","19.884"
"M1762","临城镇+美台乡工作站","109.698","19.830"
"59954","陵水","110.030","18.550"
"M0670","七叉镇+大章村","109.077","19.073"
"M1265","老城镇+老城高速路","110.124","19.936"
"M1452","三道镇+宏达农业基地","109.669","18.481"
"M1615","千家镇+乐光抱伦13队","109.044","18.631"
"M1560","营根镇+岭头茶场5队","109.946","19.052"
"M1160","东成镇+长坡水管所","109.431","19.696"
"M1370","万城镇+气象局","110.390","18.794"
"59951","万宁","110.330","18.800"
"59981","海南三沙市西沙群岛永兴岛","112.330","16.830"
"M1703","邦溪镇+邦溪农场","109.108","19.361"
"M1262","老城镇+马村天然气库","110.058","19.979"
"M1104","潭门镇+潭门中学","110.613","19.244"
"M1034","三门坡镇+荔枝小气候站","110.547","19.733"
"M1090","天涯区+台楼村","109.466","18.407"
"M1902","永署礁","112.881","9.539"
"M1940","中建岛3","111.202","15.768"
"M1944","东岛3","112.723","16.670"
"M1451","六弓乡+田岸村","109.771","18.546"
"M1808","枫木镇+木色水库","109.979","19.203"
"M1109","龙江镇+山口小学","110.303","19.149"
"M1616","抱由镇+气象局大院","109.170","18.748"
"M1044","三江镇+豪富江莲雾小气候站","110.561","19.914"
"M1079","崖州区＋南山寿果","109.102","18.389"
"M1089","天涯区+报龙村","109.407","18.491"
"M1099","育才生态区+南黎水库","109.218","18.488"
"M1122","博鳌镇+北山农气","110.537","19.110"
"M1332","东路镇+永青航天育种","110.677","19.795"
"M1901","诸碧礁","114.061","10.913"
"M1906","赤瓜礁","114.286","9.714"
"M1917","琛航岛2","111.960","16.286"
"M1918","北礁2","111.468","17.066"
"M1931","华阳礁3","112.856","8.888"
"M0403","椰林镇+下园村","110.028","18.524"
"M0702","青松乡+青松道班","109.266","19.158"
"59757","琼山","110.370","20.000"
"M0114","潭门镇+排港村","110.621","19.218"
"M1660","七叉镇+霸王岭","109.127","19.085"
"M0658","昌化镇+大风糖厂","108.764","19.259"
"M0468","加茂镇+南茂农场什挺胶场","109.668","18.573"
"M0451","保城镇+打南村","109.795","18.611"
"M1409","提蒙乡+乡政府","110.010","18.566"
"M1813","新兴镇+新兴公路站","110.178","19.500"
"M1769","博厚镇+金牌","109.828","19.964"
"M0116","塔洋镇+裕山村","110.535","19.265"
"M1257","中兴镇+和岭农场6队","109.763","19.532"
"M1030","东山镇+官仓水文站","110.245","19.734"
"M1211","板桥镇+镇政府","108.686","18.797"
"M1173","雅星镇+富克工作站","109.136","19.523"
"M1657","十月田镇+南岭村","108.948","19.408"
"M1708","金波乡+金波农场","109.173","19.234"
"M1556","吊罗山乡+太平农场","109.868","18.793"
"M1557","和平镇+乘坡农场","110.014","18.897"
"M1018","遵潭镇+咸凉小学","110.283","19.843"
"M1026","大致坡镇+高速路","110.675","19.800"
"M0664","海尾镇+长山村","108.945","19.483"
"M0102","石壁镇+下朗村","110.298","19.157"
"M1752","多文镇+红华中学","109.775","19.763"
"M1612","万冲镇+三柏小学","109.266","18.771"
"M1504","毛阳镇+石碌村","109.484","18.943"
"M1065","崖州区＋大隆水库","109.234","18.430"
"M1175","洋浦+原油码头","109.142","19.794"
"M1853","雷鸣镇+雷鸣中学","110.319","19.557"
"M0007","府城街道+办事处","110.347","19.990"
"M0302","东路镇+东路水库","110.681","19.731"
"M1022","三门坡镇+铁炉水库","110.466","19.708"
"M1062","吉阳区＋大茅山庄","109.630","18.383"
"M1067","吉阳区＋气象局办公区","109.536","18.232"
"M1509","畅好乡+畅好农场","109.560","18.710"
"M1704","荣邦乡+大岭农场","109.091","19.435"
"M1807","南坤镇+中坤农场11队","109.903","19.323"
"M0001","白龙街道+海南省地震局","110.367","20.029"
"M1867","新竹镇+龙州河水文站","110.210","19.606"
"M0668","王下乡+钱铁村","109.154","18.957"
"M1085","天涯区+西岛海岛站2","109.363","18.243"
"M1905","南薰礁","114.221","10.197"
"M1923","东门礁2","114.496","9.909"
"M1934","美济礁4","115.521","9.881"
"M0002","人民街道+海南大学","110.336","20.054"
"M0101","会山镇+会山村","110.263","19.071"
"M1768","临城镇+方圆公园","109.690","19.907"
"M0005","金贸街道+龙华区政府","110.326","20.032"
"M0458","什玲镇+巡亲村","109.766","18.676"
"M1417","椰林镇+广陵农业","110.044","18.488"
"M1074","崖州区+南鹿水果园","109.046","18.374"
"M0110","万泉镇+夏坡村","110.405","19.236"
"M1406","吊罗山+中心小学","109.928","18.666"
"M1357","三更罗镇+新中农场","110.178","18.852"
"M1215","八所镇+高速路","108.726","19.106"
"M1256","文儒镇+红岗农场","110.072","19.529"
"M1023","灵山镇+东营海蓝椰风","110.418","20.060"
"M1020","石山镇+美安糖厂","110.189","19.883"
"M1016","龙泉镇+镇政府","110.359","19.855"
"M0113","潭门镇+墨香村","110.600","19.278"
"M0501","冲山镇+番慢村","109.556","18.754"
"M1851","岭口镇+岭口中学","110.303","19.345"
"M1208","八所镇+上红兴小学","108.731","19.063"
"M1753","加来镇+加来农场","109.698","19.709"
"M1155","南丰镇+松涛水库","109.562","19.407"
"M1161","木棠镇+水管所","109.348","19.810"
"M1558","长征镇+长征农场","109.876","18.963"
"M1158","和庆镇+美万水库","109.683","19.524"
"M1179","洋浦原油码头海岛站","109.142","19.795"
"M1613","抱由镇+山荣农场八队","109.056","18.741"
"M1120","阳江镇+莲雾基地","110.676","19.411"
"M1046","琼山大道+省三防办","110.413","19.983"
"M0671","海尾镇+大安村","108.966","19.472"
"M0672","十月田镇+姜园村","108.848","19.256"
"M1125","嘉积镇+上埇小学","110.519","19.224"
"M1082","天涯区+凤凰岛海岛站","109.486","18.238"
"M1201","大田镇+红泉农场","108.915","19.165"
"M1021","金贸街道+万绿园","110.308","20.038"
"M1015","旧州镇+镇政府","110.409","19.763"
"59838","东方","108.620","19.100"
"M1665","叉河镇+水文站","108.934","19.224"
"M0660","叉河镇+坎头村","108.914","19.231"
"M1374","万城镇+白鞍岛2","110.569","18.811"
"M1566","营根镇+对比站","109.842","19.035"
"M1903","美济礁","115.521","9.881"
"M1915","美济礁2","115.521","9.881"
"M1924","华阳礁2","112.856","8.888"
"M1929","赤瓜礁3","114.286","9.714"
"M1943","金银岛3","111.258","16.365"
"M1056","吉阳区＋安游斧头岭","109.569","18.179"
"M1261","大丰镇+大丰海军农场","110.038","19.890"
"M1207","江边乡+乡政府","108.973","18.897"
"M1608","利国镇+红五小学","108.909","18.559"
"M1204","八所镇+玉章小学","108.690","19.158"
"M1458","什玲镇+八村小学","109.738","18.755"
"M1267","金江镇+山口水文站","109.973","19.699"
"M0352","新中农场+石盘35队","110.084","18.907"
"M0118","塔洋镇+彬村山村","110.575","19.302"
"M1812","坡心镇+石桥水文站","110.116","19.324"
"M1414","光坡镇+文官小学","110.047","18.539"
"M1302","会文镇+琼文中学","110.723","19.466"
"M1014","云龙镇+金德丰基地","110.441","19.848"
"M1105","会山镇+东平农场","110.293","19.055"
"M1119","塔洋镇+彬村山农场","110.567","19.311"
"M1205","大田镇+坡鹿保护区","108.785","19.108"
"M1365","南桥镇+兴隆华侨农场","110.201","18.729"
"M1765","皇桐镇+龙津糖业","109.853","19.749"
"M1861","翰林镇+中瑞农场","110.304","19.254"
